UNITID,LATITUDE,LONGITUDE,ADM_RATE_ALL,PPTUG_EF,SAT_AVG_ALL,COSTT4_A,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,MEDIAN_HH_INC,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,year
168005,42.357945,-71.060917,0.8802826289828,0.0385,1188.0,57831.0,1,41648.0,41648.0,76214.79,57100.0,75000.0,0.5004,0.0621,0.1471,0.0755,0.0019,0.0002,0.0327,0.1481,0.032,2022
168148,42.40855,-71.118293,0.1143021988589,0.0195,1506.0,78983.0,1,63000.0,63000.0,82793.69,82000.0,156400.0,0.478,0.0514,0.0911,0.1551,0.0006,0.0009,0.0688,0.1142,0.0398,2022
168227,42.336632,-71.094983,0.89542363536114,0.0572,1241.0,50966.0,1,37650.0,37650.0,76699.8,66800.0,72500.0,0.6004,0.0685,0.1055,0.0993,0.0008,0.001,0.0272,0.052,0.0453,2022
168254,42.115017,-72.520466,0.89882537196554,0.0221,1209.0,53760.0,1,40380.0,40380.0,76363.81,60200.0,71200.0,0.7468,0.052,0.0965,0.0283,0.0016,0.0016,0.0256,0.0186,0.0291,2022
168263,42.132698,-72.796503,0.94351060898319,0.1236,1084.0,24422.0,2,11139.0,17219.0,72419.11,49300.0,46300.0,0.738,0.0498,0.1095,0.0219,0.0035,0.0,0.033,0.0045,0.0398,2022
168430,42.267526,-71.844018,0.89320951828206,0.1637,1113.0,18674.0,2,10586.0,16666.0,68531.82,51700.0,55200.0,0.6502,0.0787,0.1414,0.0529,0.0016,0.0,0.0332,0.0129,0.029,2022
168740,41.963859,-86.355815,0.8151487826871,0.0973,1180.0,42156.0,1,31782.0,31782.0,63096.48,48500.0,44600.0,0.2418,0.1741,0.1696,0.1293,0.0068,0.0053,0.076,0.1772,0.0198,2022
168786,42.96019,-85.628785,0.89036312849162,0.084,1092.0,46100.0,1,36134.0,36134.0,64829.33,44000.0,35300.0,0.6892,0.0355,0.0745,0.0199,0.0026,0.0017,0.0277,0.0511,0.0978,2022
169080,42.929916,-85.587548,0.75062719518314,0.0601,1246.0,51965.0,1,38240.0,38240.0,70660.49,48900.0,45900.0,0.7077,0.0412,0.0408,0.0533,0.0013,0.0,0.029,0.1205,0.0061,2022
169248,43.591203,-84.77525,0.77080520602689,0.1345,1120.0,26085.0,2,13200.0,13200.0,66048.2,46300.0,45800.0,0.7614,0.1013,0.054,0.0123,0.0072,0.0009,0.0412,0.0117,0.0102,2022
169363,42.273157,-83.68268,0.66816494039476,0.0314,1132.0,46522.0,1,31830.0,31830.0,64715.84,45800.0,48600.0,0.7535,0.0919,0.0547,0.007,0.0023,0.0023,0.0419,0.0244,0.0221,2022
169716,42.414222,-83.139158,0.93235625704622,0.0851,1172.0,38881.0,1,30154.0,30154.0,64142.33,50300.0,58300.0,0.5736,0.1237,0.07,0.0717,0.0038,0.0004,0.0138,0.0717,0.0713,2022
169798,42.251675,-83.627443,0.84605278190334,0.2774,1061.0,25802.0,2,15700.0,15700.0,69989.0,43400.0,44800.0,0.5971,0.1729,0.083,0.0322,0.0032,0.0006,0.0412,0.0211,0.0488,2022
169910,43.687724,-85.481925,0.84770992366412,0.2553,1047.0,24295.0,2,12740.0,12740.0,61040.62,49900.0,48700.0,0.7627,0.086,0.0657,0.0149,0.0052,0.0005,0.0395,0.012,0.0135,2022
170037,42.979966,-85.595328,0.91315652626105,0.2276,1109.0,37413.0,1,27040.0,27040.0,63718.46,38400.0,43200.0,0.7423,0.0779,0.0677,0.0171,0.0021,0.0,0.0212,0.0718,0.0,2022
170639,46.492849,-84.365573,0.7328909166321,0.1224,1069.0,24374.0,2,13200.0,13200.0,53637.55,42800.0,39900.0,0.4777,0.0082,0.0126,0.0069,0.0578,0.0,0.0,0.0132,0.4237,2022
170806,42.384323,-83.404722,0.52255947497949,0.2477,1034.0,37218.0,1,24900.0,24900.0,72787.1,45300.0,43700.0,0.6453,0.0937,0.0486,0.0266,0.002,0.0,0.0394,0.1085,0.0358,2022
171100,42.73212,-84.476111,0.83251036934623,0.0895,1220.0,20623.0,2,14750.0,40562.0,72140.18,59700.0,86800.0,0.6778,0.0729,0.061,0.0729,0.0017,0.0006,0.0369,0.0557,0.0205,2022
171128,47.11866,-88.548092,0.85748041288396,0.0405,1256.0,30572.0,2,16966.0,38112.0,61737.2,67300.0,60500.0,0.8602,0.0109,0.0282,0.0214,0.0035,0.0004,0.0377,0.0082,0.0295,2022
171137,42.317287,-83.231417,0.68766274023558,0.2324,1180.0,21531.0,2,13816.0,28048.0,67620.59,58600.0,52300.0,0.668,0.0827,0.0657,0.0927,0.0016,0.0005,0.0436,0.027,0.0182,2022
171146,43.01875,-83.690276,0.7386222332753,0.3241,1141.0,21703.0,2,12750.0,24974.0,64807.7,44000.0,45100.0,0.7054,0.1315,0.0643,0.0213,0.0078,0.0011,0.0329,0.013,0.0226,2022
171571,42.674573,-83.216418,0.92090183184593,0.1996,1117.0,23229.0,2,13934.0,24708.0,78696.54,46200.0,53100.0,0.7091,0.0844,0.0474,0.0558,0.0021,0.0015,0.0369,0.0188,0.0439,2022
171599,42.442891,-84.923891,0.885,0.0597,1019.0,44592.0,1,31104.0,31104.0,62696.44,43100.0,37200.0,0.685,0.1862,0.0585,0.0036,0.0,0.0,0.0513,0.006,0.0095,2022
172051,43.51176,-83.964273,0.77809798270893,0.1403,1069.0,22586.0,2,11130.0,26144.0,57827.75,42700.0,42500.0,0.7596,0.0774,0.0531,0.01,0.0032,0.0002,0.0379,0.0293,0.0294,2022
172644,42.358994,-83.068998,0.63256702457018,0.221,1155.0,25657.0,2,14043.0,30013.0,61912.62,44500.0,62600.0,0.5475,0.1584,0.0651,0.1275,0.0024,0.0005,0.0578,0.0169,0.024,2022
172699,42.282194,-85.613759,0.82809101999681,0.1511,1122.0,26409.0,2,13434.0,16768.0,69141.32,51100.0,47100.0,0.6889,0.0888,0.0846,0.0225,0.0036,0.0005,0.0365,0.0544,0.0202,2022
173045,44.966307,-93.240436,0.76368794326241,0.1006,1074.0,54738.0,1,41007.0,41007.0,72224.74,50700.0,57500.0,0.4054,0.234,0.1347,0.1061,0.0072,0.0013,0.0567,0.0226,0.032,2022
